Timestamp,User Number,Test Number,How urgent was the feedback?,Was the feedback clearly felt?,Was the feedback distracting?,Was the feedback alarming?,Was the feedback uncomfortable or painful?,General remarks & comments?
2017/08/04 9:27:31 AM GMT+2,11,7,1,1,1,1,1,
2017/08/04 9:28:22 AM GMT+2,11,8,4,5,4,5,2,
2017/08/04 9:29:11 AM GMT+2,11,9,4,5,3,4,2,
2017/08/04 9:30:07 AM GMT+2,11,A,2,5,5,2,5,
2017/08/04 9:31:32 AM GMT+2,11,B,4,5,4,4,4,
2017/08/04 9:32:30 AM GMT+2,11,C,3,5,2,2,1,
2017/08/04 9:33:15 AM GMT+2,11,D,5,5,2,5,1,
2017/08/04 9:33:54 AM GMT+2,11,E,2,5,2,1,3,
2017/08/04 9:34:34 AM GMT+2,11,F,1,3,1,1,2,
2017/08/04 9:35:14 AM GMT+2,11,G,4,5,2,4,2,
2017/08/04 9:35:57 AM GMT+2,11,H,3,5,2,3,1,
2017/08/04 9:36:37 AM GMT+2,11,I,3,5,1,2,1,
2017/08/04 9:37:13 AM GMT+2,11,J,1,2,1,1,1,
2017/08/04 9:38:00 AM GMT+2,11,K,3,5,2,3,2,
2017/08/04 9:38:46 AM GMT+2,11,L,3,5,2,3,1,
2017/08/04 9:39:45 AM GMT+2,11,M,3,5,2,3,2,
2017/08/04 9:40:32 AM GMT+2,11,N,2,5,2,1,1,
2017/08/04 9:41:19 AM GMT+2,11,O,4,5,2,4,1,
2017/08/04 9:42:08 AM GMT+2,11,P,2,4,1,2,2,
